n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
50,6.528,0.227958,6.22491,6.34998,6.48176,6.71466,7.07027
100,58.2274,0.946211,57.0099,57.6419,58.0739,58.5831,61.0329
200,449.229,3.03244,443.544,446.637,449.454,451.208,455.9
400,3605.28,114.155,3532.95,3543.09,3546.2,3612.76,3960.6
600,11866.7,256.043,11752.6,11762.7,11770.8,11780.8,12652
800,28228.3,931.593,27747.9,27918.1,27952.2,28006.7,32460.6
1000,53977.5,1019.94,53543,53669.5,53692.7,53738.2,57932.2
