n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
50,0.543972,0.0216718,0.52624,0.531377,0.537641,0.550376,0.631136
100,3.70079,0.169427,3.47925,3.5438,3.67718,3.85763,3.99019
200,26.8324,0.209124,26.4783,26.6634,26.8456,26.9462,27.3316
400,206.065,0.503965,205.151,205.791,205.988,206.216,207.399
600,686.033,1.40348,683.954,684.889,685.857,686.847,688.947
800,1616.17,1.69055,1612.69,1614.91,1616.18,1616.87,1619.5
1000,3135.38,6.16254,3125,3129.55,3136.28,3138.98,3148.84
