n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
50,0.42568,0.0245609,0.375939,0.411702,0.416567,0.436373,0.497457
100,2.33936,0.128215,2.1924,2.24466,2.29969,2.43698,2.67199
200,15.5644,0.180353,15.3334,15.4391,15.5345,15.6338,16.2334
400,121.562,4.39155,117.965,118.794,119.572,122.231,134.51
600,399.421,1.66304,396.846,398.204,399.105,399.923,404.834
800,969.045,2.05021,965.452,967.789,968.596,969.794,973.06
1000,1936.29,3.76131,1929.89,1933.38,1936.43,1937.97,1943.73
